cod_municipio,uf,nome_maiusculo,nome_sem_acento_maiusculo,nome,nome_sem_acento
1100015,RO,ALTA FLORESTA D'OESTE,ALTA FLORESTA D'OESTE,Alta Floresta d'Oeste,Alta Floresta d'Oeste
1100023,RO,ARIQUEMES,ARIQUEMES,Ariquemes,Ariquemes
1100031,RO,CABIXI,CABIXI,Cabixi,Cabixi
1100049,RO,CACOAL,CACOAL,Cacoal,Cacoal
1100056,RO,CEREJEIRAS,CEREJEIRAS,Cerejeiras,Cerejeiras
1100064,RO,COLORADO DO OESTE,COLORADO DO OESTE,Colorado do Oeste,Colorado do Oeste
1100072,RO,CORUMBIARA,CORUMBIARA,Corumbiara,Corumbiara
1100080,RO,COSTA MARQUES,COSTA MARQUES,Costa Marques,Costa Marques
1100098,RO,ESPIGÃO D'OESTE,ESPIGAO D'OESTE,Espigão d'Oeste,Espigao d'Oeste
1100106,RO,GUAJARÁ-MIRIM,GUAJARA-MIRIM,Guajará-Mirim,Guajara-Mirim
1100114,RO,JARU,JARU,Jaru,Jaru
1100122,RO,JI-PARANÁ,JI-PARANA,Ji-Paraná,Ji-Parana
1100130,RO,MACHADINHO D'OESTE,MACHADINHO D'OESTE,Machadinho d'Oeste,Machadinho d'Oeste
1100148,RO,NOVA BRASILÂNDIA D'OESTE,NOVA BRASILANDIA D'OESTE,Nova Brasilândia d'Oeste,Nova Brasilandia d'Oeste
1100155,RO,OURO PRETO DO OESTE,OURO PRETO DO OESTE,Ouro Preto do Oeste,Ouro Preto do Oeste
1100189,RO,PIMENTA BUENO,PIMENTA BUENO,Pimenta Bueno,Pimenta Bueno
1100205,RO,PORTO VELHO,PORTO VELHO,Porto Velho,Porto Velho
1100254,RO,PRESIDENTE MÉDICI,PRESIDENTE MEDICI,Presidente Médici,Presidente Medici
1100262,RO,RIO CRESPO,RIO CRESPO,Rio Crespo,Rio Crespo
1100288,RO,ROLIM DE MOURA,ROLIM DE MOURA,Rolim de Moura,Rolim de Moura
1100296,RO,SANTA LUZIA D'OESTE,SANTA LUZIA D'OESTE,Santa Luzia d'Oeste,Santa Luzia d'Oeste
1100304,RO,VILHENA,VILHENA,Vilhena,Vilhena
1100320,RO,SÃO MIGUEL DO GUAPORÉ,SAO MIGUEL DO GUAPORE,São Miguel do Guaporé,Sao Miguel do Guapore
1100338,RO,NOVA MAMORÉ,NOVA MAMORE,Nova Mamoré,Nova Mamore
1100346,RO,ALVORADA D'OESTE,ALVORADA D'OESTE,Alvorada d'Oeste,Alvorada d'Oeste
1100379,RO,ALTO ALEGRE DOS PARECIS,ALTO ALEGRE DOS PARECIS,Alto Alegre dos Parecis,Alto Alegre dos Parecis
1100403,RO,ALTO PARAÍSO,ALTO PARAISO,Alto Paraíso,Alto Paraiso
1100452,RO,BURITIS,BURITIS,Buritis,Buritis
1100502,RO,NOVO HORIZONTE DO OESTE,NOVO HORIZONTE DO OESTE,Novo Horizonte do Oeste,Novo Horizonte do Oeste
1100601,RO,CACAULÂNDIA,CACAULANDIA,Cacaulândia,Cacaulandia
1100700,RO,CAMPO NOVO DE RONDÔNIA,CAMPO NOVO DE RONDONIA,Campo Novo de Rondônia,Campo Novo de Rondonia
1100809,RO,CANDEIAS DO JAMARI,CANDEIAS DO JAMARI,Candeias do Jamari,Candeias do Jamari
1100908,RO,CASTANHEIRAS,CASTANHEIRAS,Castanheiras,Castanheiras
1100924,RO,CHUPINGUAIA,CHUPINGUAIA,Chupinguaia,Chupinguaia
1100940,RO,CUJUBIM,CUJUBIM,Cujubim,Cujubim
1101005,RO,GOVERNADOR JORGE TEIXEIRA,GOVERNADOR JORGE TEIXEIRA,Governador Jorge Teixeira,Governador Jorge Teixeira
1101104,RO,ITAPUÃ DO OESTE,ITAPUA DO OESTE,Itapuã do Oeste,Itapua do Oeste
1101203,RO,MINISTRO ANDREAZZA,MINISTRO ANDREAZZA,Ministro Andreazza,Ministro Andreazza
1101302,RO,MIRANTE DA SERRA,MIRANTE DA SERRA,Mirante da Serra,Mirante da Serra
1101401,RO,MONTE NEGRO,MONTE NEGRO,Monte Negro,Monte Negro
1101435,RO,NOVA UNIÃO,NOVA UNIAO,Nova União,Nova Uniao
1101450,RO,PARECIS,PARECIS,Parecis,Parecis
1101468,RO,PIMENTEIRAS DO OESTE,PIMENTEIRAS DO OESTE,Pimenteiras do Oeste,Pimenteiras do Oeste
1101476,RO,PRIMAVERA DE RONDÔNIA,PRIMAVERA DE RONDONIA,Primavera de Rondônia,Primavera de Rondonia
1101484,RO,SÃO FELIPE D'OESTE,SAO FELIPE D'OESTE,São Felipe d'Oeste,Sao Felipe d'Oeste
1101492,RO,SÃO FRANCISCO DO GUAPORÉ,SAO FRANCISCO DO GUAPORE,São Francisco do Guaporé,Sao Francisco do Guapore
1101500,RO,SERINGUEIRAS,SERINGUEIRAS,Seringueiras,Seringueiras
1101559,RO,TEIXEIRÓPOLIS,TEIXEIROPOLIS,Teixeirópolis,Teixeiropolis
1101609,RO,THEOBROMA,THEOBROMA,Theobroma,Theobroma
1101708,RO,URUPÁ,URUPA,Urupá,Urupa
1101757,RO,VALE DO ANARI,VALE DO ANARI,Vale do Anari,Vale do Anari
1101807,RO,VALE DO PARAÍSO,VALE DO PARAISO,Vale do Paraíso,Vale do Paraiso
1200013,AC,ACRELÂNDIA,ACRELANDIA,Acrelândia,Acrelandia
1200054,AC,ASSIS BRASIL,ASSIS BRASIL,Assis Brasil,Assis Brasil
1200104,AC,BRASILÉIA,BRASILEIA,Brasiléia,Brasileia
1200138,AC,BUJARI,BUJARI,Bujari,Bujari
1200179,AC,CAPIXABA,CAPIXABA,Capixaba,Capixaba
1200203,AC,CRUZEIRO DO SUL,CRUZEIRO DO SUL,Cruzeiro do Sul,Cruzeiro do Sul
1200252,AC,EPITACIOLÂNDIA,EPITACIOLANDIA,Epitaciolândia,Epitaciolandia
1200302,AC,FEIJÓ,FEIJO,Feijó,Feijo
1200328,AC,JORDÃO,JORDAO,Jordão,Jordao
1200336,AC,MÂNCIO LIMA,MANCIO LIMA,Mâncio Lima,Mancio Lima
1200344,AC,MANOEL URBANO,MANOEL URBANO,Manoel Urbano,Manoel Urbano
1200351,AC,MARECHAL THAUMATURGO,MARECHAL THAUMATURGO,Marechal Thaumaturgo,Marechal Thaumaturgo
1200385,AC,PLÁCIDO DE CASTRO,PLACIDO DE CASTRO,Plácido de Castro,Placido de Castro
1200393,AC,PORTO WALTER,PORTO WALTER,Porto Walter,Porto Walter
1200401,AC,RIO BRANCO,RIO BRANCO,Rio Branco,Rio Branco
1200427,AC,RODRIGUES ALVES,RODRIGUES ALVES,Rodrigues Alves,Rodrigues Alves
1200435,AC,SANTA ROSA DO PURUS,SANTA ROSA DO PURUS,Santa Rosa do Purus,Santa Rosa do Purus
1200450,AC,SENADOR GUIOMARD,SENADOR GUIOMARD,Senador Guiomard,Senador Guiomard
1200500,AC,SENA MADUREIRA,SENA MADUREIRA,Sena Madureira,Sena Madureira
1200609,AC,TARAUACÁ,TARAUACA,Tarauacá,Tarauaca
1200708,AC,XAPURI,XAPURI,Xapuri,Xapuri
1200807,AC,PORTO ACRE,PORTO ACRE,Porto Acre,Porto Acre
1300029,AM,ALVARÃES,ALVARAES,Alvarães,Alvaraes
1300060,AM,AMATURÁ,AMATURA,Amaturá,Amatura
1300086,AM,ANAMÃ,ANAMA,Anamã,Anama
1300102,AM,ANORI,ANORI,Anori,Anori
1300144,AM,APUÍ,APUI,Apuí,Apui
1300201,AM,ATALAIA DO NORTE,ATALAIA DO NORTE,Atalaia do Norte,Atalaia do Norte
1300300,AM,AUTAZES,AUTAZES,Autazes,Autazes
1300409,AM,BARCELOS,BARCELOS,Barcelos,Barcelos
1300508,AM,BARREIRINHA,BARREIRINHA,Barreirinha,Barreirinha
1300607,AM,BENJAMIN CONSTANT,BENJAMIN CONSTANT,Benjamin Constant,Benjamin Constant
1300631,AM,BERURI,BERURI,Beruri,Beruri
1300680,AM,BOA VISTA DO RAMOS,BOA VISTA DO RAMOS,Boa Vista do Ramos,Boa Vista do Ramos
1300706,AM,BOCA DO ACRE,BOCA DO ACRE,Boca do Acre,Boca do Acre
1300805,AM,BORBA,BORBA,Borba,Borba
1300839,AM,CAAPIRANGA,CAAPIRANGA,Caapiranga,Caapiranga
1300904,AM,CANUTAMA,CANUTAMA,Canutama,Canutama
1301001,AM,CARAUARI,CARAUARI,Carauari,Carauari
1301100,AM,CAREIRO,CAREIRO,Careiro,Careiro
1301159,AM,CAREIRO DA VÁRZEA,CAREIRO DA VARZEA,Careiro da Várzea,Careiro da Varzea
1301209,AM,COARI,COARI,Coari,Coari
1301308,AM,CODAJÁS,CODAJAS,Codajás,Codajas
1301407,AM,EIRUNEPÉ,EIRUNEPE,Eirunepé,Eirunepe
1301506,AM,ENVIRA,ENVIRA,Envira,Envira
1301605,AM,FONTE BOA,FONTE BOA,Fonte Boa,Fonte Boa
1301654,AM,GUAJARÁ,GUAJARA,Guajará,Guajara
1301704,AM,HUMAITÁ,HUMAITA,Humaitá,Humaita
1301803,AM,IPIXUNA,IPIXUNA,Ipixuna,Ipixuna
1301852,AM,IRANDUBA,IRANDUBA,Iranduba,Iranduba
1301902,AM,ITACOATIARA,ITACOATIARA,Itacoatiara,Itacoatiara
1301951,AM,ITAMARATI,ITAMARATI,Itamarati,Itamarati
1302009,AM,ITAPIRANGA,ITAPIRANGA,Itapiranga,Itapiranga
1302108,AM,JAPURÁ,JAPURA,Japurá,Japura
1302207,AM,JURUÁ,JURUA,Juruá,Jurua
1302306,AM,JUTAÍ,JUTAI,Jutaí,Jutai
1302405,AM,LÁBREA,LABREA,Lábrea,Labrea
1302504,AM,MANACAPURU,MANACAPURU,Manacapuru,Manacapuru
1302553,AM,MANAQUIRI,MANAQUIRI,Manaquiri,Manaquiri
1302603,AM,MANAUS,MANAUS,Manaus,Manaus
1302702,AM,MANICORÉ,MANICORE,Manicoré,Manicore
1302801,AM,MARAÃ,MARAA,Maraã,Maraa
1302900,AM,MAUÉS,MAUES,Maués,Maues
1303007,AM,NHAMUNDÁ,NHAMUNDA,Nhamundá,Nhamunda
1303106,AM,NOVA OLINDA DO NORTE,NOVA OLINDA DO NORTE,Nova Olinda do Norte,Nova Olinda do Norte
1303205,AM,NOVO AIRÃO,NOVO AIRAO,Novo Airão,Novo Airao
1303304,AM,NOVO ARIPUANÃ,NOVO ARIPUANA,Novo Aripuanã,Novo Aripuana
1303403,AM,PARINTINS,PARINTINS,Parintins,Parintins
1303502,AM,PAUINI,PAUINI,Pauini,Pauini
1303536,AM,PRESIDENTE FIGUEIREDO,PRESIDENTE FIGUEIREDO,Presidente Figueiredo,Presidente Figueiredo
1303569,AM,RIO PRETO DA EVA,RIO PRETO DA EVA,Rio Preto da Eva,Rio Preto da Eva
1303601,AM,SANTA ISABEL DO RIO NEGRO,SANTA ISABEL DO RIO NEGRO,Santa Isabel do Rio Negro,Santa Isabel do Rio Negro
1303700,AM,SANTO ANTÔNIO DO IÇÁ,SANTO ANTONIO DO ICA,Santo Antônio do Içá,Santo Antonio do Ica
1303809,AM,SÃO GABRIEL DA CACHOEIRA,SAO GABRIEL DA CACHOEIRA,São Gabriel da Cachoeira,Sao Gabriel da Cachoeira
1303908,AM,SÃO PAULO DE OLIVENÇA,SAO PAULO DE OLIVENCA,São Paulo de Olivença,Sao Paulo de Olivenca
1303957,AM,SÃO SEBASTIÃO DO UATUMÃ,SAO SEBASTIAO DO UATUMA,São Sebastião do Uatumã,Sao Sebastiao do Uatuma
1304005,AM,SILVES,SILVES,Silves,Silves
1304062,AM,TABATINGA,TABATINGA,Tabatinga,Tabatinga
1304104,AM,TAPAUÁ,TAPAUA,Tapauá,Tapaua
1304203,AM,TEFÉ,TEFE,Tefé,Tefe
1304237,AM,TONANTINS,TONANTINS,Tonantins,Tonantins
1304260,AM,UARINI,UARINI,Uarini,Uarini
1304302,AM,URUCARÁ,URUCARA,Urucará,Urucara
1304401,AM,URUCURITUBA,URUCURITUBA,Urucurituba,Urucurituba
1400027,RR,AMAJARI,AMAJARI,Amajari,Amajari
1400050,RR,ALTO ALEGRE,ALTO ALEGRE,Alto Alegre,Alto Alegre
1400100,RR,BOA VISTA,BOA VISTA,Boa Vista,Boa Vista
1400159,RR,BONFIM,BONFIM,Bonfim,Bonfim
1400175,RR,CANTÁ,CANTA,Cantá,Canta
1400209,RR,CARACARAÍ,CARACARAI,Caracaraí,Caracarai
1400233,RR,CAROEBE,CAROEBE,Caroebe,Caroebe
1400282,RR,IRACEMA,IRACEMA,Iracema,Iracema
1400308,RR,MUCAJAÍ,MUCAJAI,Mucajaí,Mucajai
1400407,RR,NORMANDIA,NORMANDIA,Normandia,Normandia
1400456,RR,PACARAIMA,PACARAIMA,Pacaraima,Pacaraima
1400472,RR,RORAINÓPOLIS,RORAINOPOLIS,Rorainópolis,Rorainopolis
1400506,RR,SÃO JOÃO DA BALIZA,SAO JOAO DA BALIZA,São João da Baliza,Sao Joao da Baliza
1400605,RR,SÃO LUIZ,SAO LUIZ,São Luiz,Sao Luiz
1400704,RR,UIRAMUTÃ,UIRAMUTA,Uiramutã,Uiramuta
1500107,PA,ABAETETUBA,ABAETETUBA,Abaetetuba,Abaetetuba
1500131,PA,ABEL FIGUEIREDO,ABEL FIGUEIREDO,Abel Figueiredo,Abel Figueiredo
1500206,PA,ACARÁ,ACARA,Acará,Acara
1500305,PA,AFUÁ,AFUA,Afuá,Afua
1500347,PA,ÁGUA AZUL DO NORTE,AGUA AZUL DO NORTE,Água Azul do Norte,Agua Azul do Norte
1500404,PA,ALENQUER,ALENQUER,Alenquer,Alenquer
1500503,PA,ALMEIRIM,ALMEIRIM,Almeirim,Almeirim
1500602,PA,ALTAMIRA,ALTAMIRA,Altamira,Altamira
1500701,PA,ANAJÁS,ANAJAS,Anajás,Anajas
1500800,PA,ANANINDEUA,ANANINDEUA,Ananindeua,Ananindeua
1500859,PA,ANAPU,ANAPU,Anapu,Anapu
1500909,PA,AUGUSTO CORRÊA,AUGUSTO CORREA,Augusto Corrêa,Augusto Correa
1500958,PA,AURORA DO PARÁ,AURORA DO PARA,Aurora do Pará,Aurora do Para
1501006,PA,AVEIRO,AVEIRO,Aveiro,Aveiro
1501105,PA,BAGRE,BAGRE,Bagre,Bagre
1501204,PA,BAIÃO,BAIAO,Baião,Baiao
1501253,PA,BANNACH,BANNACH,Bannach,Bannach
1501303,PA,BARCARENA,BARCARENA,Barcarena,Barcarena
1501402,PA,BELÉM,BELEM,Belém,Belem
1501451,PA,BELTERRA,BELTERRA,Belterra,Belterra
1501501,PA,BENEVIDES,BENEVIDES,Benevides,Benevides
1501576,PA,BOM JESUS DO TOCANTINS,BOM JESUS DO TOCANTINS,Bom Jesus do Tocantins,Bom Jesus do Tocantins
1501600,PA,BONITO,BONITO,Bonito,Bonito
1501709,PA,BRAGANÇA,BRAGANCA,Bragança,Braganca
1501725,PA,BRASIL NOVO,BRASIL NOVO,Brasil Novo,Brasil Novo
1501758,PA,BREJO GRANDE DO ARAGUAIA,BREJO GRANDE DO ARAGUAIA,Brejo Grande do Araguaia,Brejo Grande do Araguaia
1501782,PA,BREU BRANCO,BREU BRANCO,Breu Branco,Breu Branco
1501808,PA,BREVES,BREVES,Breves,Breves
1501907,PA,BUJARU,BUJARU,Bujaru,Bujaru
1501956,PA,CACHOEIRA DO PIRIÁ,CACHOEIRA DO PIRIA,Cachoeira do Piriá,Cachoeira do Piria
1502004,PA,CACHOEIRA DO ARARI,CACHOEIRA DO ARARI,Cachoeira do Arari,Cachoeira do Arari
1502103,PA,CAMETÁ,CAMETA,Cametá,Cameta
1502152,PA,CANAÃ DOS CARAJÁS,CANAA DOS CARAJAS,Canaã dos Carajás,Canaa dos Carajas
1502202,PA,CAPANEMA,CAPANEMA,Capanema,Capanema
1502301,PA,CAPITÃO POÇO,CAPITAO POCO,Capitão Poço,Capitao Poco
1502400,PA,CASTANHAL,CASTANHAL,Castanhal,Castanhal
1502509,PA,CHAVES,CHAVES,Chaves,Chaves
1502608,PA,COLARES,COLARES,Colares,Colares
1502707,PA,CONCEIÇÃO DO ARAGUAIA,CONCEICAO DO ARAGUAIA,Conceição do Araguaia,Conceicao do Araguaia
1502756,PA,CONCÓRDIA DO PARÁ,CONCORDIA DO PARA,Concórdia do Pará,Concordia do Para
1502764,PA,CUMARU DO NORTE,CUMARU DO NORTE,Cumaru do Norte,Cumaru do Norte
1502772,PA,CURIONÓPOLIS,CURIONOPOLIS,Curionópolis,Curionopolis
1502806,PA,CURRALINHO,CURRALINHO,Curralinho,Curralinho
1502855,PA,CURUÁ,CURUA,Curuá,Curua
1502905,PA,CURUÇÁ,CURUCA,Curuçá,Curuca
1502939,PA,DOM ELISEU,DOM ELISEU,Dom Eliseu,Dom Eliseu
1502954,PA,ELDORADO DO CARAJÁS,ELDORADO DO CARAJAS,Eldorado do Carajás,Eldorado do Carajas
1503002,PA,FARO,FARO,Faro,Faro
1503044,PA,FLORESTA DO ARAGUAIA,FLORESTA DO ARAGUAIA,Floresta do Araguaia,Floresta do Araguaia
1503077,PA,GARRAFÃO DO NORTE,GARRAFAO DO NORTE,Garrafão do Norte,Garrafao do Norte
1503093,PA,GOIANÉSIA DO PARÁ,GOIANESIA DO PARA,Goianésia do Pará,Goianesia do Para
1503101,PA,GURUPÁ,GURUPA,Gurupá,Gurupa
1503200,PA,IGARAPÉ-AÇU,IGARAPE-ACU,Igarapé-Açu,Igarape-Acu
1503309,PA,IGARAPÉ-MIRI,IGARAPE-MIRI,Igarapé-Miri,Igarape-Miri
1503408,PA,INHANGAPI,INHANGAPI,Inhangapi,Inhangapi
1503457,PA,IPIXUNA DO PARÁ,IPIXUNA DO PARA,Ipixuna do Pará,Ipixuna do Para
1503507,PA,IRITUIA,IRITUIA,Irituia,Irituia
1503606,PA,ITAITUBA,ITAITUBA,Itaituba,Itaituba
1503705,PA,ITUPIRANGA,ITUPIRANGA,Itupiranga,Itupiranga
1503754,PA,JACAREACANGA,JACAREACANGA,Jacareacanga,Jacareacanga
1503804,PA,JACUNDÁ,JACUNDA,Jacundá,Jacunda
1503903,PA,JURUTI,JURUTI,Juruti,Juruti
1504000,PA,LIMOEIRO DO AJURU,LIMOEIRO DO AJURU,Limoeiro do Ajuru,Limoeiro do Ajuru
1504059,PA,MÃE DO RIO,MAE DO RIO,Mãe do Rio,Mae do Rio
1504109,PA,MAGALHÃES BARATA,MAGALHAES BARATA,Magalhães Barata,Magalhaes Barata
1504208,PA,MARABÁ,MARABA,Marabá,Maraba
1504307,PA,MARACANÃ,MARACANA,Maracanã,Maracana
1504406,PA,MARAPANIM,MARAPANIM,Marapanim,Marapanim
1504422,PA,MARITUBA,MARITUBA,Marituba,Marituba
1504455,PA,MEDICILÂNDIA,MEDICILANDIA,Medicilândia,Medicilandia
1504505,PA,MELGAÇO,MELGACO,Melgaço,Melgaco
1504604,PA,MOCAJUBA,MOCAJUBA,Mocajuba,Mocajuba
1504703,PA,MOJU,MOJU,Moju,Moju
1504752,PA,MOJUÍ DOS CAMPOS,MOJUI DOS CAMPOS,Mojuí dos Campos,Mojui dos Campos
1504802,PA,MONTE ALEGRE,MONTE ALEGRE,Monte Alegre,Monte Alegre
1504901,PA,MUANÁ,MUANA,Muaná,Muana
1504950,PA,NOVA ESPERANÇA DO PIRIÁ,NOVA ESPERANCA DO PIRIA,Nova Esperança do Piriá,Nova Esperanca do Piria
1504976,PA,NOVA IPIXUNA,NOVA IPIXUNA,Nova Ipixuna,Nova Ipixuna
1505007,PA,NOVA TIMBOTEUA,NOVA TIMBOTEUA,Nova Timboteua,Nova Timboteua
1505031,PA,NOVO PROGRESSO,NOVO PROGRESSO,Novo Progresso,Novo Progresso
1505064,PA,NOVO REPARTIMENTO,NOVO REPARTIMENTO,Novo Repartimento,Novo Repartimento
1505106,PA,ÓBIDOS,OBIDOS,Óbidos,Obidos
1505205,PA,OEIRAS DO PARÁ,OEIRAS DO PARA,Oeiras do Pará,Oeiras do Para
1505304,PA,ORIXIMINÁ,ORIXIMINA,Oriximiná,Oriximina
1505403,PA,OURÉM,OUREM,Ourém,Ourem
1505437,PA,OURILÂNDIA DO NORTE,OURILANDIA DO NORTE,Ourilândia do Norte,Ourilandia do Norte
1505486,PA,PACAJÁ,PACAJA,Pacajá,Pacaja
1505494,PA,PALESTINA DO PARÁ,PALESTINA DO PARA,Palestina do Pará,Palestina do Para
1505502,PA,PARAGOMINAS,PARAGOMINAS,Paragominas,Paragominas
1505536,PA,PARAUAPEBAS,PARAUAPEBAS,Parauapebas,Parauapebas
1505551,PA,PAU D'ARCO,PAU D'ARCO,Pau d'Arco,Pau d'Arco
1505601,PA,PEIXE-BOI,PEIXE-BOI,Peixe-Boi,Peixe-Boi
1505635,PA,PIÇARRA,PICARRA,Piçarra,Picarra
1505650,PA,PLACAS,PLACAS,Placas,Placas
1505700,PA,PONTA DE PEDRAS,PONTA DE PEDRAS,Ponta de Pedras,Ponta de Pedras
1505809,PA,PORTEL,PORTEL,Portel,Portel
1505908,PA,PORTO DE MOZ,PORTO DE MOZ,Porto de Moz,Porto de Moz
1506005,PA,PRAINHA,PRAINHA,Prainha,Prainha
1506104,PA,PRIMAVERA,PRIMAVERA,Primavera,Primavera
1506112,PA,QUATIPURU,QUATIPURU,Quatipuru,Quatipuru
1506138,PA,REDENÇÃO,REDENCAO,Redenção,Redencao
1506161,PA,RIO MARIA,RIO MARIA,Rio Maria,Rio Maria
1506187,PA,RONDON DO PARÁ,RONDON DO PARA,Rondon do Pará,Rondon do Para
1506195,PA,RURÓPOLIS,RUROPOLIS,Rurópolis,Ruropolis
1506203,PA,SALINÓPOLIS,SALINOPOLIS,Salinópolis,Salinopolis
1506302,PA,SALVATERRA,SALVATERRA,Salvaterra,Salvaterra
1506351,PA,SANTA BÁRBARA DO PARÁ,SANTA BARBARA DO PARA,Santa Bárbara do Pará,Santa Barbara do Para
1506401,PA,SANTA CRUZ DO ARARI,SANTA CRUZ DO ARARI,Santa Cruz do Arari,Santa Cruz do Arari
1506500,PA,SANTA IZABEL DO PARÁ,SANTA IZABEL DO PARA,Santa Izabel do Pará,Santa Izabel do Para
1506559,PA,SANTA LUZIA DO PARÁ,SANTA LUZIA DO PARA,Santa Luzia do Pará,Santa Luzia do Para
1506583,PA,SANTA MARIA DAS BARREIRAS,SANTA MARIA DAS BARREIRAS,Santa Maria das Barreiras,Santa Maria das Barreiras
1506609,PA,SANTA MARIA DO PARÁ,SANTA MARIA DO PARA,Santa Maria do Pará,Santa Maria do Para
1506708,PA,SANTANA DO ARAGUAIA,SANTANA DO ARAGUAIA,Santana do Araguaia,Santana do Araguaia
1506807,PA,SANTARÉM,SANTAREM,Santarém,Santarem
1506906,PA,SANTARÉM NOVO,SANTAREM NOVO,Santarém Novo,Santarem Novo
1507003,PA,SANTO ANTÔNIO DO TAUÁ,SANTO ANTONIO DO TAUA,Santo Antônio do Tauá,Santo Antonio do Taua
1507102,PA,SÃO CAETANO DE ODIVELAS,SAO CAETANO DE ODIVELAS,São Caetano de Odivelas,Sao Caetano de Odivelas
1507151,PA,SÃO DOMINGOS DO ARAGUAIA,SAO DOMINGOS DO ARAGUAIA,São Domingos do Araguaia,Sao Domingos do Araguaia
1507201,PA,SÃO DOMINGOS DO CAPIM,SAO DOMINGOS DO CAPIM,São Domingos do Capim,Sao Domingos do Capim
1507300,PA,SÃO FÉLIX DO XINGU,SAO FELIX DO XINGU,São Félix do Xingu,Sao Felix do Xingu
1507409,PA,SÃO FRANCISCO DO PARÁ,SAO FRANCISCO DO PARA,São Francisco do Pará,Sao Francisco do Para
1507458,PA,SÃO GERALDO DO ARAGUAIA,SAO GERALDO DO ARAGUAIA,São Geraldo do Araguaia,Sao Geraldo do Araguaia
1507466,PA,SÃO JOÃO DA PONTA,SAO JOAO DA PONTA,São João da Ponta,Sao Joao da Ponta
1507474,PA,SÃO JOÃO DE PIRABAS,SAO JOAO DE PIRABAS,São João de Pirabas,Sao Joao de Pirabas
1507508,PA,SÃO JOÃO DO ARAGUAIA,SAO JOAO DO ARAGUAIA,São João do Araguaia,Sao Joao do Araguaia
1507607,PA,SÃO MIGUEL DO GUAMÁ,SAO MIGUEL DO GUAMA,São Miguel do Guamá,Sao Miguel do Guama
1507706,PA,SÃO SEBASTIÃO DA BOA VISTA,SAO SEBASTIAO DA BOA VISTA,São Sebastião da Boa Vista,Sao Sebastiao da Boa Vista
1507755,PA,SAPUCAIA,SAPUCAIA,Sapucaia,Sapucaia
1507805,PA,SENADOR JOSÉ PORFÍRIO,SENADOR JOSE PORFIRIO,Senador José Porfírio,Senador Jose Porfirio
1507904,PA,SOURE,SOURE,Soure,Soure
1507953,PA,TAILÂNDIA,TAILANDIA,Tailândia,Tailandia
1507961,PA,TERRA ALTA,TERRA ALTA,Terra Alta,Terra Alta
1507979,PA,TERRA SANTA,TERRA SANTA,Terra Santa,Terra Santa
1508001,PA,TOMÉ-AÇU,TOME-ACU,Tomé-Açu,Tome-Acu
1508035,PA,TRACUATEUA,TRACUATEUA,Tracuateua,Tracuateua
1508050,PA,TRAIRÃO,TRAIRAO,Trairão,Trairao
1508084,PA,TUCUMÃ,TUCUMA,Tucumã,Tucuma
1508100,PA,TUCURUÍ,TUCURUI,Tucuruí,Tucurui
1508126,PA,ULIANÓPOLIS,ULIANOPOLIS,Ulianópolis,Ulianopolis
1508159,PA,URUARÁ,URUARA,Uruará,Uruara
1508209,PA,VIGIA,VIGIA,Vigia,Vigia
1508308,PA,VISEU,VISEU,Viseu,Viseu
1508357,PA,VITÓRIA DO XINGU,VITORIA DO XINGU,Vitória do Xingu,Vitoria do Xingu
1508407,PA,XINGUARA,XINGUARA,Xinguara,Xinguara
1600055,AP,SERRA DO NAVIO,SERRA DO NAVIO,Serra do Navio,Serra do Navio
1600105,AP,AMAPÁ,AMAPA,Amapá,Amapa
1600154,AP,PEDRA BRANCA DO AMAPARI,PEDRA BRANCA DO AMAPARI,Pedra Branca do Amapari,Pedra Branca do Amapari
1600204,AP,CALÇOENE,CALCOENE,Calçoene,Calcoene
1600212,AP,CUTIAS,CUTIAS,Cutias,Cutias
1600238,AP,FERREIRA GOMES,FERREIRA GOMES,Ferreira Gomes,Ferreira Gomes
1600253,AP,ITAUBAL,ITAUBAL,Itaubal,Itaubal
1600279,AP,LARANJAL DO JARI,LARANJAL DO JARI,Laranjal do Jari,Laranjal do Jari
1600303,AP,MACAPÁ,MACAPA,Macapá,Macapa
1600402,AP,MAZAGÃO,MAZAGAO,Mazagão,Mazagao
1600501,AP,OIAPOQUE,OIAPOQUE,Oiapoque,Oiapoque
1600535,AP,PORTO GRANDE,PORTO GRANDE,Porto Grande,Porto Grande
1600550,AP,PRACUÚBA,PRACUUBA,Pracuúba,Pracuuba
1600600,AP,SANTANA,SANTANA,Santana,Santana
1600709,AP,TARTARUGALZINHO,TARTARUGALZINHO,Tartarugalzinho,Tartarugalzinho
1600808,AP,VITÓRIA DO JARI,VITORIA DO JARI,Vitória do Jari,Vitoria do Jari
1700251,TO,ABREULÂNDIA,ABREULANDIA,Abreulândia,Abreulandia
1700301,TO,AGUIARNÓPOLIS,AGUIARNOPOLIS,Aguiarnópolis,Aguiarnopolis
1700350,TO,ALIANÇA DO TOCANTINS,ALIANCA DO TOCANTINS,Aliança do Tocantins,Alianca do Tocantins
1700400,TO,ALMAS,ALMAS,Almas,Almas
1700707,TO,ALVORADA,ALVORADA,Alvorada,Alvorada
1701002,TO,ANANÁS,ANANAS,Ananás,Ananas
1701051,TO,ANGICO,ANGICO,Angico,Angico
1701101,TO,APARECIDA DO RIO NEGRO,APARECIDA DO RIO NEGRO,Aparecida do Rio Negro,Aparecida do Rio Negro
